GRUPOG;NOMBRE_GRUPOG;;CODIGO;MARCA;;CODIGO;DESCRIPCION;VALOR
0;ELECTRIC VEHICLES;;4;---;;KILO;KILOS;0
1;GASOLINE VEHICLES;;15;ACTIVO FIJO;;MTR;METROS;0
2;ACCESORIOS;;8;ALISTAMIENTO;;UNID;UNIDADES;0
3;SERVICIOS CAMBIO ACEITE;;2;BLUESKY;;;;
4;REPUESTOS - GLORY 330;;52;COMISIONES METALGROUP;;;;
5;REPUESTOS - GLORY 500;;51;COSTEO/ENSAMBLE/GGOO;;;;
6;REPUESTOS - SERIE K;;18;DFSK;;;;
7;REPUESTOS - SERIE C;;0;DFSK;;;;
8;MATERIAL POP;;13;DONGFENG;;;;
9;REPUESTOS - GLORY 560/580;;17;ELEMENTOS ENSAMBLE;;;;
10;REPUESTOS - GLORY IX5;;20;ESTACAS/CISTERNA;;;;
11;REPUESTOS - CAVA REF. -5ºC;;54;EXONERACION DE INTERESES;;;;
12;COSTEO;;10;FALT REP DFSK;;;;
13;REPUESTOS - D1;;11;FALT REP GAC;;;;
14;GASTOS OPERATIVOS;;7;GAC;;;;
15;REPUESTOS PLAZA;;61;GAC;;;;
16;REPUESTOS - X30;;9;LATONERIA Y PINTURA;;;;
17;CAVA SECA (ISOTERMICA);;71;MATERIAL POP;;;;
18;CAVA REFR -5ºC;;65;REPUESTOS;;;;
19;CAVA REFR -18ºC;;5;"REPUESTOS - GLORY 500
";;;;
20;ESTACAS/CISTERNA;;44;REPUESTOS  REBATTE;;;;
21;PLACAS;;6;"REPUESTOS - SERIE K
";;;;
22;"REPUESTOS ""DESUSO""";;3;"REPUESTOS ""DESUSO""";;;;
23;DONADORES DE REPUESTOS;;22;REPUESTOS DFSK;;;;
24;DFSK - GLORY 330;;73;REPUESTOS DFSK;;;;
25;DFSK - GLORY 500;;12;REPUESTOS GAC;;;;
26;DFSK - GLORY 500T;;14;REPUESTOS GRUA;;;;
27;DFSK - GLORY 560;;74;REPUESTOS NACIONALES/PLAZA;;;;
28;DFSK - K01S;;70;REPUESTOS REBITTE;;;;
29;DFSK - C37;;72;REPUESTOS SHINERAY;;;;
30;DFSK - D1;;16;"REPUESTOS X30
";;;;
31;DFSK - C31;;1;SHINERAY;;;;
32;DFSK - GLORY 600;;;;;;;
33;DFSK - K07S;;;;;;;
34;DFSK - D51;;;;;;;
35;VEHICULOS VENEPAC;;;;;;;
36;SHINERAY - X30;;;;;;;
37;DFSK - E5 (HYBRID);;;;;;;
38;GAC - EMPOW;;;;;;;
39;GAC - EMZOOM;;;;;;;
40;GAC - GS8;;;;;;;
41;DFSK - C32;;;;;;;
42;DFSK - K05S;;;;;;;
43;---;;;;;;;
44;REPUESTOS - GLORY 600;;;;;;;
45;DFSK - C35;;;;;;;
46;DFSK - K02S;;;;;;;
47;ALISTAMIENTO;;;;;;;
48;HERRAMIENTAS;;;;;;;
49;DFSK - D71;;;;;;;
50;DFSK - D72;;;;;;;
51;LP - MANO DE OBRA;;;;;;;
52;LP - MATERIALES;;;;;;;
53;FALT REP UNIDADES;;;;;;;
54;REPUESTOS - GAC GS8;;;;;;;
55;REPUESTOS - GAC EMPOW;;;;;;;
56;REPUESTOS - GAC EMZOOM;;;;;;;
57;REPUESTOS - SERIE D;;;;;;;
58;SHINERAY - X30LS;;;;;;;
59;GRUA DIESEL;;;;;;;
60;REPUESTOS GRUA;;;;;;;
61;ACTIVO FIJO;;;;;;;
62;DFSK - GLORY 580;;;;;;;
63;DFSK - IX5;;;;;;;
64;ELEMENTOS ENSAMBLE;;;;;;;
65;REPUESTOS;;;;;;;
66;DFSK-Z9;;;;;;;
